CustomerID,Gender,Age,Geography,Tenure,Contract,InternetService,PaymentMethod,MonthlyCharges,TotalCharges,TechSupport,StreamingTV,OnlineSecurity,Churn
CUST01111,F,38,,42,One year,Fiber optic,Mailed check,55.89,2503.43,No,Yes,no,yes
CUST00952,Male,25, Florida,9,Month-to-month,No,Mailed check,87.1,841.08,Y,No,No,no
CUST01179,Male,56,California,16, Two year,Fiber optic,Electronic check,20.0,350.62,Yes,No,No,no
CUST00435,male,28,California,39,Month-to-month,Fiber optic,Credit card,41.1,1499.86,Y,Y,Yes,no
CUST01200,Female,47,Florida,1,Month-to-month,DSL,Electronic check,24.74,24.31, No,No,No,N
CUST00348,Female,43,California,31,One year,No,Electronic check,30.08,980.21,YES,N,no,No
CUST00044,Male,79,Texas,40,Month-to-month,fiber optic,Bank transfer,52.8,1815.54,Y,Y,Yes,No
CUST00837,Male,26,Texas,9,,Fiber optic,Mailed check,28.93,250.59,Yes,Yes,Yes,Yes
CUST01058,Male,43,Texas,4,One year,Fiber optic,Electronic check,21.74,95.62,No,Yes,No,no
CUST00340,Male,34,Florida,51,Month-to-month,No,electronic check,111.2,5801.5,Yes,N,yes,No
CUST00637,Male,43, Florida,19,Month-to-month,DSL,Bank transfer,21.5,444.13,Yes,No,Yes,No
CUST00670,Male,62,New York,66,Two year,DSL,Bank transfer,109.49,7322.95,No,No,no,no
CUST00208,Male,18,New York,61,One year,dsl,,113.91,7146.62,No,Yes,no,No
CUST00475,Female,28,california,33,Month-to-month,No,Electronic check,67.04,2141.98,YES,No,No,Y
CUST00075,male,33,Texas,14,Month-to-month,fiber optic,Mailed check,78.95,1224.93,No,No,Yes,No
CUST00857,Female,28,California,54,Two year,Fiber optic,Mailed check,108.43,5752.86,No,Yes,No,No
CUST00528,,32,,69,One year,DSL,Electronic check,43.92,3121.77,Yes,No,no,N
CUST00865,Male,30, Florida,71,Month-to-month,DSL,Bank transfer,99.34,6497.08,Yes,Yes,no,Yes
CUST00538,Male,52,New York,54,Month-to-month,No,electronic check,86.82,5141.63,No,Yes,No,No
CUST00106,male,68, Florida,61,One year,Fiber optic,Mailed check,65.28,3752.13,No,No,No,TRUE
CUST00778, Male,54,California,58,Two year,DSL,Bank transfer,87.07,5128.72,yes,Yes,No,No
CUST01193,Female,50,California,47,Month-to-month,DSL,Mailed check,31.13,1649.29,,Yes,No,
CUST00421,Male,54,Florida,48,Month-to-month,Fiber optic,Bank transfer,97.74,4698.25,Yes,Yes,Yes,no
CUST00077,Female,43,TEXAS,51,One year,fiber optic,Credit card,108.92,5922.75,N,N,Yes,no
CUST01044,Female,41,California,13,One year,Fiber optic,Credit card,47.79,662.43,Y,Yes,No,
CUST00295,male,48,Texas,48,One year,Fiber optic,electronic check,97.27,5271.09,No,Yes,yes,No
CUST00169,Female,27,New York,5,One year,fiber optic,electronic check,72.56,408.87,No,Yes,No,
CUST00049,Male,49,TEXAS,1,Month-to-month,Fiber optic,,69.61,77.47,No,No,Yes,Yes
CUST00901,Female,47, Florida,6,Two year,No,Mailed check,67.46,360.09,N,no,No,Yes
CUST00531,female ,41,Texas,64, Two year,DSL,Electronic check,61.33,4257.93,No,Yes,No,no
CUST00590,Female,59,Texas,27,One year,Fiber optic,Electronic check,45.15,1135.27,No,No,No,No
CUST00569,female ,61,california,68,Month-to-month,Fiber optic,Electronic check,52.69,3056.39,Yes,Yes,No,Yes
CUST00728,F,38,California,70,Month-to-month,Fiber optic,Bank transfer,52.57,3335.0,No,Yes,No,No
CUST01117,Male,30,California,66,Month-to-month,Fiber optic,Credit card,44.68,3361.58,yes,Yes,No,No
CUST00700,M,50,TEXAS,16,Month-to-month,Fiber optic,Mailed check,87.97,1395.06,yes,yes,No,yes
CUST00309,Female,30,California,22,Month-to-month,DSL,Credit card,104.24,2023.66,No,Yes,yes,0
CUST00609, Male,36,Texas,48,Two year,DSL,Electronic check,100.53,4874.86,Yes,Yes,No,1
CUST00069,male,46,New York,28,Month-to-month,Fiber optic,Mailed check,83.01,2270.0,no,No,No,Yes
CUST00749,Female,33,California,44,ONE YEAR,Fiber optic,electronic check,92.96,3620.84,N,Yes,No,Yes
CUST00023,Female,-10,TEXAS,40,Month-to-month,Fiber optic,Bank transfer,19.54,688.04,Yes,No,no,no
CUST00108,Male,33,Texas,48,Month-to-month,Fiber optic,Electronic check,33.02,1764.7,Yes,Yes,no,No
CUST00994,M,36,Texas,21,Month-to-month,DSL,Electronic check,54.41,1265.47,No,no,yes,no
CUST00057,Male,28,california,17,Month-to-month,DSL,Credit card,31.8,502.12,,Yes,Yes,No
CUST00436,Male,-10,New York,47, Two year,Fiber optic,Mailed check,86.22,3774.81,no,,No,no
CUST00914,male,54,Texas,24,ONE YEAR,DSL,Electronic check,32.26,881.76,YES,no,No,no
CUST00325,Female,51,Florida,57,Month-to-month,DSL,Bank transfer,24.9,1624.17,YES,Yes,no,no
CUST00424,F,25,Texas,22,Two year,No,Electronic check,23.77,585.25,No,yes,No,No
CUST01008, Male,45,New York,47,Two year,DSL,Credit card,104.55,4952.3,Yes,Yes,Yes,N
CUST00655,,81,TEXAS,40,One year,No,Electronic check,110.14,3748.3,No,yes,Yes,yes
CUST01133,F,20,New York,26,month-to-month,No,Electronic check,77.54,1718.28,Yes,Yes,No,Yes
CUST00380,Female,36,TEXAS,52,Two year,fiber optic,Credit card,96.19,4506.23,Yes,No,No,Yes
CUST00100,Female,55,California,45,One year,DSL,Electronic check,86.61,3313.5,Y,,Yes,Y
CUST00331,Male,23,Texas,15,One year,Fiber optic,Electronic check,117.17,2001.43,No,N,Y,N
CUST00894,Female,39,California,28,Two year,No,Electronic check,53.26,1464.81,Yes,No,Yes,Yes
CUST00432,male,29,california,1,Two year,Fiber optic,Mailed check,76.57,79.48,No,No,yes,0
CUST00593,Male,47,california,34,month-to-month,FIBER OPTIC,Credit card,78.32,2417.3,No,Yes,Yes,Yes
CUST00051,male,33,Texas,8,Month-to-month,DSL,,117.86,986.85,Yes,No,yes,Yes
CUST00363,Female,50,california,30,Two year,No,electronic check,114.15,3876.91,No,No,Y,Yes
CUST00285,Female,36,California,32,month-to-month,Fiber optic,Mailed check,46.84,1661.07,No,No,no,FALSE
CUST00197,F,18,California,13,Month-to-month,Fiber optic,Credit card,91.85,1222.41,No,No,No,No
CUST00661,Male,29,Texas,33,Month-to-month,DSL,Electronic check,109.16,3821.65,Y,Yes,Yes,Yes
CUST00510,Male,46, Florida,48,Month-to-month,fiber optic,Mailed check,41.71,2066.5,no,Yes,yes,0
CUST00243,Male,18,New York,25,One year,DSL,Credit card,94.66,2712.41,Yes,no,No,N
CUST00463,F,59,New York,18,ONE YEAR,No,Bank transfer,26.16,431.4,No,No,No,TRUE
CUST00489,Male,22,california,64,,,Credit card,75.96,4500.14,No,Yes,No,No
CUST00054,Female,78,New York,49,Month-to-month,Fiber optic,Electronic check,108.42,5247.0,no,No,Yes,
CUST01154,Female,20,California,4,Two year,Fiber optic,Electronic check,96.32,409.49, No,No,No,no
CUST00761,Male,47,California,21,Month-to-month,DSL,Mailed check,87.33,1838.46,no,yes,yes,Yes
CUST00308,Male,39,Florida,57,Two year,No,Bank transfer,38.78,2401.03,yes,Yes,,No
CUST00055,Male,49,Texas,57,One year,Fiber optic,Mailed check,23.63,1244.53,No,Yes,No,no
CUST00085,male,26,New York,65,Two year,fiber optic,Bank transfer,21.16,1562.65,No,yes,No,No
CUST00714,Male,53,California,38,One year,No,Credit card,53.22,1893.87,Yes,N,No,No
CUST00305,Female,25,California,41,One year,Fiber optic,electronic check,111.78,5083.53,No,No,No,No
CUST00729,Female,42,New York,55,Two year,Fiber optic,Bank transfer,80.8,4259.72,Y,Y,Yes,TRUE
CUST01164,Male,42,Texas,38,Month-to-month,Fiber optic,Electronic check,64.32,2696.75,Yes,Yes,Yes,N
CUST00705,Female,56,New York,51,Two year,No,Credit card,23.85,1265.53,Yes,Yes,No,N
CUST00576,Female,35,california,23,Month-to-month,DSL,Bank transfer,48.59,1166.49,No,No,Y,yes
CUST01012, Male,59,california,57,Month-to-month,No,Bank transfer,116.85,6686.9,no,yes,No,Y
CUST00925,Male,59,Florida,19,Two year,Fiber optic,,55.87,1047.13,Yes,No,No,0
CUST01026,Male,35,New York,68,Month-to-month,DSL,Bank transfer,33.84,2294.4,No,Yes,yes,No
CUST00534,Female,61,california,20,Month-to-month,Fiber optic,Electronic check,33.8,649.75,,No,Yes,1
CUST00554,male,67,California,16,ONE YEAR,DSL,Bank transfer,68.35,1208.99,No,Yes,No,no
CUST00644,Male,22,Florida,11,One year,DSL,Bank transfer,97.87,1013.71,yes,yes,Yes,No
CUST00297,Female,20, Florida,65,Two year,Fiber optic,electronic check,111.5,8282.89,no,Yes,,0
CUST00628,Male,34,Texas,38,,Fiber optic,Electronic check,62.01,2447.89,Yes,no,yes,no
CUST00412,Female,24, Florida,41,One year,fiber optic,Electronic check,101.44,4104.72,No,Yes,No,
CUST00407,Male,26,New York,3,Two year,Fiber optic,Credit card,48.72,166.24,yes,Yes,No,TRUE
CUST00179,Male,47,California,8,Two year,Fiber optic,Mailed check,79.81,571.62,N,No,Yes,no
CUST00724,M,41,New York,34,One year,DSL,Mailed check,39.96,1557.59,Yes,Yes,Yes,yes
CUST00562,Female,43,California,68,One year,Fiber optic,Bank transfer,67.69,3952.11,No,Yes,No,No
CUST00408,female ,38,TEXAS,40,Month-to-month,Fiber optic,Electronic check,93.42,3756.93,No,No,yes,N
CUST00902,Male,51,Texas,41,ONE YEAR,Fiber optic,Bank transfer,61.07,2533.47,Yes,Yes,no,No
CUST01152,M,39,California,48,Month-to-month,DSL,Electronic check,44.7,2194.36,No,yes,no,No
CUST00369,Male,61,New York,11,One year,DSL,Bank transfer,80.05,748.57,No,Yes,No,Yes
CUST00809,Female,57,New York,10,Month-to-month,DSL,Electronic check,76.46,872.23,No,Yes,No,N
CUST00687,Male,30,New York,58,One year,Fiber optic,Electronic check,108.31,5414.8,no,Yes,Yes,no
CUST00592,Male,23,Texas,59,Month-to-month,DSL,Mailed check,116.52,6092.32,No,Yes,Y,No
CUST00911,F,54,California,0,Two year,No,Credit card,31.51,0.0,N,Yes,Y,No
CUST00748,male,29,California,16,Month-to-month,DSL,Mailed check,110.48,1747.24,Yes,Yes,Yes,Yes
CUST00342,Female,49,Texas,52,Month-to-month,Fiber optic,Bank transfer,107.43,5936.26,yes,Yes,Yes,N
CUST00246,female ,53,california,60, Two year,DSL,Credit card,64.42,4232.9,No,no,No,No
CUST00359,Female,48,California,22,One year,No,Bank transfer,92.59,1977.34,N,yes,Yes,Yes
CUST01116,Female,49,Texas,10,Two year,Fiber optic,Credit card,78.16,809.23,N,yes,No,0
CUST00801,Female,47,New York,63,One year,Fiber optic,Credit card,98.78,6111.7,No,Yes,No,Yes
CUST00448,Female,53,Texas,66,month-to-month,FIBER OPTIC,Mailed check,106.08,6833.55,N,Yes,No,yes
CUST00274,Female,31,california,24,Month-to-month,DSL,CREDIT CARD,37.94,794.53,Yes,Yes,No,No
CUST00707,Male,54,New York,21,,DSL,Electronic check,71.31,1313.87,no,no,yes,Yes
CUST01167,female ,72,Texas,47,One year,No,Mailed check,84.91,4019.46,No,No,No,FALSE
CUST00191, Male,57,Texas,71,Month-to-month,Fiber optic,Mailed check,74.21,6052.01,No,no,No,No
CUST00167,Male,28,Texas,47,Month-to-month,DSL,,81.65,3582.6,Yes,No,no,1
CUST00195,male,50,california,71,Month-to-month,DSL,Electronic check,95.84,6389.64,No,Y,No,Y
CUST00264,male,47,New York,17,Month-to-month,Fiber optic,Bank transfer,39.75,660.26,yes,Yes,No,Yes
CUST00229,Female,52,New York,28,One year,DSL,electronic check,62.93,1669.63,Yes,Yes,Yes,No
CUST00731,Female,68,California,33,month-to-month,DSL,electronic check,110.49,3783.35,No,No,Yes,N
CUST00930,Male,38,california,2,Month-to-month,Fiber optic,Mailed check,91.99,208.28,No,Yes,No,FALSE
CUST00577,Male,28,Texas,13,Month-to-month,Fiber optic,Mailed check,95.65,1240.03,Yes,No,Yes,Yes
CUST00877,Female,54,California,30, Two year,No,Bank transfer,76.34,2363.31,No,Yes,No,Yes
CUST00622,Male,47,Florida,50,Two year,DSL,Mailed check,107.93,4670.2,Y,No,yes,No
CUST00708, Male,35,New York,54,Month-to-month,Fiber optic,Mailed check,94.64,4877.46,No,No,Yes,no
CUST00738,F,47,California,40,One year,No,Bank transfer,21.24,753.11,no,No,No,No
CUST00710,female ,49,California,59,Month-to-month,Fiber optic,Bank transfer,56.79,3521.63,yes,No,Yes,No
CUST01016,F,59,california,15,One year,Fiber optic,Credit card,87.79,1136.45,Y,Yes,no,FALSE
CUST00866,Male,39,California,7,Two year,Fiber optic,Mailed check,51.91,371.21,Y,No,N,Yes
CUST00430,Male,41,Texas,67,Two year,DSL,Bank transfer,109.04,7888.26,No,,No,FALSE
CUST00758,Female,60,Texas,48,One year,No,electronic check,41.18,2007.04,no,No,no,no
CUST01004,male,20,New York,30,One year,fiber optic,Bank transfer,71.29,2025.63,Yes,Yes,No,0
CUST01050,,39,Texas,19,One year,Fiber optic,Credit card,108.9,2016.95,Yes,No,no,no
CUST00134,Male,37,New York,11,Two year,Fiber optic,Bank transfer,112.65,1138.82,Yes,Yes,No,Yes
CUST00611,Male,39,California,71,Month-to-month,No,Electronic check,37.19,3016.2,No,No,No,no
CUST00872,Female,58,TEXAS,63,Month-to-month,No,Mailed check,33.6,1973.59,No,No,yes,no
CUST00330,Male,61,Florida,25,Two year,,Bank transfer,115.69,2613.35,Yes,No,No,No
CUST00276,Female,33,Florida,56,Month-to-month,DSL,Mailed check,76.06,4775.5,No,yes,No,FALSE
CUST00157,Male,39,Florida,33,,DSL,Electronic check,77.97,2706.83,Yes,Yes,Yes,Y
CUST00139,female ,51,TEXAS,20,Month-to-month,Fiber optic,Mailed check,57.3,1285.38,Y,No,Yes,no
CUST00898,Male,18,Florida,71,ONE YEAR,No,Electronic check,82.97,5528.78,Yes,No,yes,yes
CUST00717,Female,-10,Texas,56,Month-to-month,Fiber optic,Electronic check,60.45,3436.08,No,Yes,No,No
CUST00318,Male,23,California,56,One year,No,Mailed check,22.85,1096.74,Yes,No,,No
CUST01165,male,50,Texas,32,Month-to-month,Fiber optic,Electronic check,68.09,2011.1,no,Yes,No,No
CUST01144,Male,30,New York,32,Month-to-month,Fiber optic,Electronic check,77.03,2465.15,yes,Yes,No,No
CUST01059,Male,39,california,68,One year,No,Bank transfer,57.46,3430.47,No,No,yes,No
CUST00192,Male,42,California,53,Month-to-month,DSL,electronic check,63.44,3502.47,yes,yes,Yes,FALSE
CUST00478,Female,33,california,54,One year,fiber optic,,72.27,4069.71,yes,No,No,
CUST01188,Male,30,California,11,Month-to-month,DSL,Electronic check,108.64,1292.86,Yes,no,No,0
CUST00183,Male,44,New York,36,month-to-month,Fiber optic,Mailed check,54.94,1715.96,yes,Y,Yes,0
CUST00422,Female,30,california,61,Month-to-month,DSL,Electronic check,86.19,5778.99,No,No,No,No
CUST01148,Male,21,TEXAS,11,Month-to-month,fiber optic,,79.6,755.37,YES,yes,Yes,no
CUST00258,Male,40,Florida,20,Month-to-month,DSL,Electronic check,78.31,1629.27,Y,No,no,Yes
CUST00804,M,43, Florida,38,month-to-month,Fiber optic,Bank transfer,92.49,3749.16,No,Yes,Yes,Yes
CUST00162,Female,48,Texas,17,Month-to-month,DSL,Bank transfer,22.16,417.59,No,No,yes,N
CUST00417,male,41,Texas,34,,DSL,Electronic check,33.01,1273.87,No,no,Yes,FALSE
CUST01169,Female,57,California,37,One year,No,Credit card,39.58,1381.11,Yes,Yes,Yes,No
CUST00155,Female,40,New York,65,One year,Fiber optic,Mailed check,41.98,2701.71,No,Y,No,no
CUST00704,Female,43,New York,65,One year,fiber optic,Electronic check,38.72,2581.23,N,Yes,Yes,No
CUST00419,Male,36,California,41,Month-to-month,FIBER OPTIC,Electronic check,77.7,3293.36,No,Yes,No,Yes
CUST00838,Female,53,TEXAS,35,Month-to-month,Fiber optic,CREDIT CARD,112.16,3508.19,YES,Y,N,FALSE
CUST00198,male,27,New York,13,One year,No,Bank transfer,59.94,789.08,,Yes,no,no
CUST00951,Female,48,california,12,Two year,DSL,Electronic check,57.56,726.05,No,No,No,0
CUST00458,male,29,New York,15,One year,No,Electronic check,20.51,349.5,No,no,Yes,Yes
CUST00843,Male,48,TEXAS,4,One year,Fiber optic,Mailed check,45.43,158.77,no,yes,Yes,No
CUST00706,Female,51,California,42,Two year,DSL,CREDIT CARD,29.78,1247.66,No,No,No,No
CUST00827,Female,18,Texas,50,Two year,No,Bank transfer,60.8,2979.78,Yes,no,No,no
CUST00207,Male,22,California,66,Two year,Fiber optic,Electronic check,54.33,3247.81,yes,No,NO,No
CUST00599,Female,44,New York,9,One year,Fiber optic,Electronic check,107.75,965.15,no,Yes,No,Y
CUST00931,Female,23,california,45,Month-to-month,Fiber optic,Credit card,74.93,2975.67,yes,No,Yes,No
CUST00612,M,55, Florida,53,Month-to-month,dsl,Mailed check,113.84,6130.1,No,,Yes,Yes
CUST00288,Female,66,New York,17,One year,DSL,Mailed check,113.22,1780.11,no,Yes,Yes,no
CUST00987,Male,22,Florida,67,Two year,dsl,Bank transfer,42.27,2583.28,Yes,no,No,No
CUST00973,Male,29,Texas,59,Two year,DSL,Mailed check,64.66,3459.93,No,No,Y,Y
CUST01072,F,42,Florida,25,Month-to-month,fiber optic,CREDIT CARD,75.87,2022.54,yes,no,No,No
CUST00532,M,54,Texas,2,One year,No,Credit card,32.48,61.98,No,Y,No,no
CUST00572,Female,56,New York,28,Month-to-month,DSL,Credit card,39.65,1183.5,Yes,No,yes,no
CUST00095,Female,34,New York,54,Two year,DSL,Mailed check,56.82,2748.72,YES,Yes,No,No
CUST01031,male,31,TEXAS,17,month-to-month,No,CREDIT CARD,113.52,1678.39,Yes,yes,Yes,yes
CUST00834,Female,25,California,59,One year,DSL,Electronic check,74.03,3772.87,No,no,Yes,Yes
CUST00177, Male,41,Texas,14,One year,DSL,Mailed check,112.81,1781.35,no,,no,No
CUST00031,Male,30,New York,57,month-to-month,Fiber optic,Bank transfer,33.49,1993.71,No,No,Yes,no
CUST00230,Female,52,California,52, Two year,Fiber optic,Electronic check,109.05,6518.56,No,No,Yes,no
CUST00924,Male,18,California,36,Month-to-month,No,Credit card,30.75,1119.15,Yes,Yes,No,Yes
CUST00659,Male,69,TEXAS,57,Two year,Fiber optic,Bank transfer,68.89,3610.4,Yes,no,Yes,yes
CUST00753,Male,53,Texas,69,One year,DSL,Bank transfer,54.97,3803.03,No,Yes,No,No
CUST01122,Female,45,Texas,52,Month-to-month,Fiber optic,Bank transfer,99.74,4833.54, No,N,N,0
CUST00329,male,37,Texas,6,Month-to-month,dsl,Mailed check,32.04,219.37,Yes,Yes,No,Y
CUST00217,Female,58,New York,1,One year,DSL,Electronic check,66.54,68.21,No,Yes,NO,Yes
CUST00905,Female,18,california,57,Month-to-month,Fiber optic,Credit card,23.37,1497.33,No,yes,No,yes
CUST00087,F,51,Florida,18,Month-to-month,No,electronic check,93.55,1564.37,No,No,No,Yes
CUST00616,Female,47,Texas,17,Month-to-month,Fiber optic,Bank transfer,113.06,1916.76,No,,N,Y
CUST01029,Male,34,Florida,48,Two year,Fiber optic,Electronic check,65.47,2747.34,Yes,N,Yes,Y
CUST00361,Female,59,Texas,60,Two year,fiber optic,Bank transfer,67.24,3583.3,Y,Y,Yes,no
CUST00863,Female,47,Texas,45,One year,Fiber optic,Electronic check,79.56,3456.35,no,no,Yes,0
CUST01042,male,45,New York,48,Two year,Fiber optic,Bank transfer,114.29,5734.3,No,Yes,No,N
CUST00322,Male,67,Texas,53,Month-to-month,No,electronic check,85.91,5190.99,yes,Yes,No,Yes
CUST00701,Male,53,New York,35,Month-to-month,DSL,CREDIT CARD,23.73,868.3,N,No,No,1
CUST00786,Female,58,Texas,26,Month-to-month,DSL,Electronic check,26.19,737.23,No,Yes,Yes,Yes
CUST00582,Male,44,New York,11,One year,DSL,Mailed check,94.46,978.65,No,Yes,No,yes
CUST00242,Female,32,Florida,0,One year,Fiber optic,Electronic check,19.75,0.0,Yes,No,no,N
CUST00457,Female,35,Texas,27,Month-to-month,Fiber optic,Mailed check,36.94,1103.14,No,No,no,yes
CUST00353,Female,25,New York,10,Month-to-month,Fiber optic,Mailed check,33.09,312.43,Yes,No,No,FALSE
CUST00360,Female,35,Texas,15,One year,,Credit card,50.5,711.06,No,Y,Yes,Yes
CUST00972,Male,23,california,0,Two year,Fiber optic,CREDIT CARD,55.39,0.0,YES,yes,NO,Yes
CUST00529,Female,49,New York,56,Month-to-month,Fiber optic,electronic check,39.54,1962.52,Yes,No,No,No
CUST00011,Male,31,California,13,Month-to-month,fiber optic,,40.57,602.27,Yes,Yes,NO,Yes
CUST00578,Female,29,New York,68,Month-to-month,Fiber optic,Credit card,61.63,4559.13,No,Yes,No,Yes
CUST00699,Male,59,New York,5,One year,No,Mailed check,70.48,379.49,No,,,No
CUST00239,female ,28,California,19,One year,Fiber optic,Electronic check,91.76,1564.43,Y,Yes,No,N
CUST00058,Male,42,Texas,54,Two year,DSL,Mailed check,22.38,1239.19,no,N,No,no
CUST00832,Female,45,New York,1,Two year,Fiber optic,Electronic check,63.78,67.49,no,no,,No
CUST00062,Female,31,california,17,Month-to-month,Fiber optic,Mailed check,47.67,931.35,N,No,Yes,No
CUST00716,male,24,California,40,ONE YEAR,fiber optic,Credit card,81.43,3563.6,no,Yes,No,1
CUST00703,male,23,Florida,51,One year,Fiber optic,Mailed check,77.05,3554.07,YES,No,Yes,0
CUST00713, Male,46,New York,68,Two year,Fiber optic,electronic check,29.3,2108.16,No,No,yes,N
CUST00350,Female,29,Texas,69,Month-to-month,DSL,Electronic check,91.64,5507.42,No,No,No,
CUST00671,Female,42,New York,47,Month-to-month,DSL,Bank transfer,45.29,2222.91,No,yes,No,Yes
CUST00502, Male,54,TEXAS,42,Two year,DSL,Mailed check,107.8,4055.44,Yes,Yes,No,No
CUST01066,Female,52,Texas,29,Two year,Fiber optic,Electronic check,93.06,2560.82,No,N,yes,Yes
CUST00502,Male,76,TEXAS,62,One year,DSL,Bank transfer,107.35,6008.54,No,Yes,No,yes
CUST00867,male,28,California,70,ONE YEAR,Fiber optic,Mailed check,50.91,3643.68, No,No,NO,Yes
CUST01170, Male,31,california,1,Month-to-month,No,Electronic check,52.92,50.37,No,no,No,yes
CUST00665,F,72,Florida,49,month-to-month,No,Mailed check,70.63,3759.71,No,Yes,N,Y
CUST01137,F,49,California,61,One year,DSL,Bank transfer,88.45,4999.73,No,yes,yes,No
CUST00763,Male,59,New York,17,Two year,fiber optic,Bank transfer,108.68,2049.33,Yes,No,No,No
CUST01125,Female,44,California,7,Two year,fiber optic,Electronic check,22.7,155.56,Yes,Yes,Y,no
CUST00289,Male,18,California,71,Month-to-month,No,Electronic check,63.28,3957.5,no,Yes,Y,No
CUST00444,male,55,california,67,month-to-month,DSL,Electronic check,68.78,4480.52,N,No,No,Yes
CUST00461,Female,22, Florida,16,Two year,FIBER OPTIC,Electronic check,72.69,1179.14,yes,No,no,TRUE
CUST00378,Male,18,TEXAS,37,Two year,DSL,Bank transfer,107.35,4449.99,no,Yes,Yes,No
CUST00374,M,78,California,55,Month-to-month,,Electronic check,28.9,1572.8,,Yes,Yes,yes
CUST00320,male,71,California,25,Month-to-month,No,Electronic check,118.49,2809.63,No,yes,No,yes
CUST00082,Male,74,California,48,Two year,DSL,Mailed check,97.81,4147.77,no,No,No,No
CUST00128,Female,40,Texas,67,Month-to-month,Fiber optic,Electronic check,64.79,4260.32,YES,yes,Yes,yes
CUST00841,Female,38,california,48,One year,Fiber optic,CREDIT CARD,86.06,4493.39,No,No,No,N
CUST00625,F,28,New York,13,One year,,Bank transfer,70.54,1005.64,Yes,No,no,no
CUST00913,F,49, Florida,51,Month-to-month,DSL,Mailed check,70.4,3175.89,No,no,No,FALSE
CUST00210, Male,44,California,54,One year,DSL,Mailed check,77.97,4316.58,Yes,No,No,0
CUST00259,Female,33,Texas,69,One year,Fiber optic,Mailed check,21.69,1390.64,yes,Yes,No,N
